	Kiel	Hamburg	Schwerin	Potsdam	Berlin	Dresden	Muenchen	Stuttgart	Mainz	Saarbruecken	Duesseldorf	Hannover	Bremen	Magdeburg	Erfurt	Wiesbaden
Kiel	0	97	151	353	354	542	886	750	626	766	485	254	210	376	486	612
Hamburg	97	0	111	287	288	476	790	654	531	670	400	158	125	280	391	516
Schwerin	150	111	0	212	213	401	758	805	634	773	504	262	229	212	474	620
Potsdam	350	283	208	0	35	202	562	610	562	701	539	264	372	134	279	548
Berlin	355	288	213	35	0	193	584	631	584	723	561	286	406	156	300	570
Dresden	544	477	402	204	193	0	459	506	498	637	583	365	472	227	214	484
Muenchen	886	791	757	554	584	461	0	232	426	440	615	659	767	521	396	423
Stuttgart	751	655	805	601	632	508	232	0	213	222	414	512	631	511	339	219
Mainz	626	531	633	554	584	500	427	217	0	147	230	388	491	462	295	16
Saarbruecken	767	672	774	695	725	641	439	221	152	0	279	529	552	603	437	160
Duesseldorf	487	402	505	528	558	581	611	409	226	281	0	277	292	420	403	202
Hannover	246	151	253	256	286	367	658	512	388	528	281	0	127	148	248	374
Bremen	211	127	229	364	406	476	767	631	492	570	291	135	0	257	367	468
Magdeburg	376	281	219	125	155	230	522	511	464	603	424	149	257	0	171	450
Erfurt	487	392	475	271	301	217	412	340	296	435	415	249	368	170	0	281
Wiesbaden	613	518	620	541	571	487	423	219	16	158	202	375	464	449	282	0
